country_name,ep_start,ep_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precise_end_date,precipitating_event,consequential_events,description,confidence,source_url
Ecuador,1970,1973,Autocracy deepening,No,Executive coup,Open-ended coup,1970,15 February 1972,"President Jose Maria Velasco Ibarra, elected in 1968, suspended Congress in 1970 and began ruling by decree with military backing, effectively declaring himself dictator.","After Velasco's government promised elections for June 1972 in which populist favorite Assad Bucaram appeared likely to win, the military, anxious to control impending oil revenues, staged a coup on 15 February 1972 led by Gen. Guillermo Rodriguez Lara, arresting Velasco and deporting him to Panama.","Elected president Velasco suspended Congress and ruled by decree, deepening Ecuador's authoritarian drift; when a populist rival seemed poised to win 1972 elections, the military preempted this with a coup.",Medium,https://en.wikipedia.org/wiki/1972_Ecuadorian_coup_d'etat
Cambodia,1970,1975,Autocracy deepening,No,Open-ended coup,Election-day fraud,March 1970,April 1975,"On 18 March 1970, Cambodia's National Assembly voted to withdraw confidence in Head of State Prince Norodom Sihanouk while abroad, following orchestrated demonstrations and pressure from PM Lon Nol; Sihanouk was formally deposed and Lon Nol assumed emergency powers, founding the Khmer Republic.","Lon Nol's 1972 ""re-election"" as president amid widespread fraud allegations entrenched his one-man rule; the Khmer Republic collapsed when Khmer Rouge forces captured Phnom Penh on 17 April 1975, ending the republic.","The National Assembly ousted Sihanouk in March 1970 under military/elite pressure, and Lon Nol established the Khmer Republic, consolidating one-man rule through a fraud-tainted 1972 election before the republic's collapse to the Khmer Rouge in 1975.",High,https://en.wikipedia.org/wiki/1970_Cambodian_coup_d'etat
Sri Lanka,1970,1989,Democratic breakdown,Yes,Executive aggrandizement,Strategic harassment,October 1977,December 1989,"PM J.R. Jayewardene's Second Amendment, passed 4 October 1977, converted the presidency into a powerful executive office he assumed personally in February 1978, and the full 1978 constitution granted the president sweeping, near-dictatorial powers.","A 1982 referendum extended the sitting parliament's term to 1989 rather than holding an election, while an amendment barred Tamil separatist-linked TULF MPs from parliament; Black July 1983 and the 1987-1989 JVP insurrection crackdown involved mass extrajudicial killings.","Jayewardene's 1978 constitution created a powerful executive presidency; a 1982 referendum extended parliament's term without election and banned opposition MPs, while state responses to Tamil militancy and the JVP insurgency involved mass killings, moving Sri Lanka to full authoritarian breakdown by decade's end.",Medium,https://en.wikipedia.org/wiki/J._R._Jayewardene
Equatorial Guinea,1971,1973,Autocracy deepening,No,Executive coup,NA,May 1971,July 1973,"On 7 May 1971, President Francisco Macias Nguema issued Decree 415, repealing parts of the 1968 constitution and granting himself all direct powers of Government, effectively suspending constitutional government; an accompanying law imposed the death penalty for threatening the president.","A new constitution approved by plebiscite on 29 July 1973 (99% approval) enshrined Macias Nguema's absolute power, following a July 1972 decree that had already declared him President for Life and merged all parties into his sole legal party.","Having been freely elected in 1968, Macias Nguema used a series of decrees between 1971 and 1973 to dismantle Equatorial Guinea's constitutional order and install a personalist, one-party dictatorship.",High,https://en.wikipedia.org/wiki/Francisco_Macias_Nguema
India,1971,1975,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,25 June 1975,21 March 1977,"Following the Allahabad High Court's 12 June 1975 ruling that found PM Indira Gandhi guilty of electoral malpractice in her 1971 election and voided her seat, Gandhi had a national Emergency proclaimed just before midnight on 25 June 1975, suspending civil liberties and arresting opposition leaders within hours.","The Emergency, during which the press was censored and opposition figures jailed, was lifted on 21 March 1977 when Gandhi called fresh elections, in which her Congress party was defeated, restoring competitive politics.","PM Gandhi responded to a court ruling invalidating her own election by declaring a national Emergency, suspending constitutional protections and jailing opposition politicians for 21 months before losing the 1977 elections she called.",High,https://en.wikipedia.org/wiki/The_Emergency_(India)
Chile,1972,1974,Democratic breakdown,Yes,Open-ended coup,NA,11 September 1973,December 1974,"On 11 September 1973, a military junta led by General Augusto Pinochet launched a coup against elected President Salvador Allende amid escalating economic crisis and polarization; Allende died during the assault on La Moneda palace.","The junta banned political parties and began repression; Pinochet was proclaimed Supreme Chief of the Nation via decree in June 1974 and formally titled President of the Republic on 17 December 1974, consolidating personal dictatorial power lasting until 1990.",Chile's elected socialist government was overthrown by a September 1973 military coup; Pinochet quickly sidelined the collegial junta structure to concentrate executive power in himself by late 1974.,High,https://en.wikipedia.org/wiki/1973_Chilean_coup_d'etat
Ghana,1972,1973,Autocracy deepening,No,Open-ended coup,NA,13 January 1972,1973,"On 13 January 1972, Colonel Ignatius Kutu Acheampong led a bloodless military coup that overthrew the elected government of PM Kofi Busia while Busia was abroad, suspending the constitution and installing the National Redemption Council.","The NRC ruled by decree through 1973, keeping the constitution suspended, parliament dissolved, and political parties banned, entrenching military rule until reorganized as the Supreme Military Council in 1975.","Ghana's Second Republic ended when Acheampong's coup deposed the elected Busia government in January 1972, suspending the constitution and banning parties, deepening the country's move away from multiparty democracy.",Medium,https://en.wikipedia.org/wiki/Ignatius_Kutu_Acheampong
Madagascar,1972,1973,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,May 1972,October 1972,"Mass ""Rotaka"" protests in May 1972 forced President Philibert Tsiranana to transfer full executive power to army Chief of Staff General Gabriel Ramanantsoa, sidelining the elected civilian government.","An October 1972 referendum abolished the presidency and vested Ramanantsoa with sweeping powers for a five-year military-led transition, formally ending Madagascar's civilian First Republic.","Mass unrest forced Tsiranana to cede power to army chief Ramanantsoa; an October 1972 referendum eliminated the presidency and installed Ramanantsoa as unchecked head of state, ending the First Republic.",Medium,https://en.wikipedia.org/wiki/Gabriel_Ramanantsoa
Seychelles,1972,1978,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,June 1977,June 1979,"On 4-5 June 1977, armed SPUP supporters trained in Tanzania seized strategic sites on Mahe and ousted elected President James Mancham while he was abroad, installing SPUP leader France-Albert Rene as president.","Proclamations of June 1977 suspended and then revoked the constitution, vesting all legislative power in Rene by decree; a new 1979 constitution formalized one-party socialist rule, and Rene won the 1979 election unopposed.","A June 1977 armed coup ousted elected President Mancham and installed Rene, who suspended the constitution before a 1979 constitution formalized single-party rule and unopposed elections.",High,https://en.wikipedia.org/wiki/1977_Seychellois_coup_d'etat
Honduras,1973,1973,Autocracy deepening,No,Open-ended coup,NA,December 1972,April 1975,"On 2 December 1972, General Oswaldo Lopez Arellano led a bloodless military coup that overthrew elected civilian President Ramon Ernesto Cruz, placing him under house arrest and ending Honduras's brief democratic interlude.","Lopez Arellano ruled by decree via a three-member military Defense Council; he was himself ousted in an internal military coup in April 1975 amid bribery allegations, with no return to elected civilian rule.",A bloodless military coup overthrew elected President Cruz and restored military rule; Lopez Arellano governed by decree until being removed in a subsequent internal military coup in April 1975.,High,https://en.wikipedia.org/wiki/1972_Honduran_coup_d'etat
Rwanda,1973,1974,Autocracy deepening,No,Open-ended coup,NA,July 1973,1975,"On 5 July 1973, Army Chief of Staff Juvenal Habyarimana seized power in a military coup against President Gregoire Kayibanda, ousting the ruling Parmehutu party.","Military rule continued until 1975, when Habyarimana founded the MRND as Rwanda's sole legal party; a 1978 constitutional referendum formalized a one-party totalitarian state that he led unopposed through subsequent elections.",A July 1973 coup deposed President Kayibanda; Habyarimana then built a one-party totalitarian state via the MRND and a 1978 constitutional referendum.,High,https://en.wikipedia.org/wiki/Juvenal_Habyarimana
Eswatini,1973,1974,Autocracy deepening,No,Executive coup,NA,April 1973,1978,"On 12 April 1973, King Sobhuza II repealed Swaziland's Westminster-style independence constitution and dissolved parliament by royal decree, banning political parties and assuming absolute personal rule.","Sobhuza ruled by decree from 1973 until a 1978 constitution introduced the tinkhundla system of tribal councils, formalizing indirect royal control over representation and ending multiparty competition.","King Sobhuza II unilaterally repealed the independence-era constitution and dissolved parliament, banning parties and ruling as absolute monarch until the 1978 tinkhundla constitution.",High,https://en.wikipedia.org/wiki/Sobhuza_II
Bahrain,1974,1976,Autocracy deepening,No,Executive coup,NA,August 1975,Ongoing,"On 28 August 1975, Emir Isa bin Salman Al Khalifa dissolved Bahrain's elected National Assembly after it refused to pass the government's proposed State Security Law, suspending the parliamentary provisions of the 1973 constitution.","Bahrain was governed by Emiri decree without an elected legislature for the remainder of Isa bin Salman's reign; the parliamentary system was never restored in his lifetime, with an elected legislature not reintroduced until 2002.","The Emir dissolved Bahrain's newly elected National Assembly after it blocked his State Security Law, suspending constitutional parliamentary rule for decades.",High,https://en.wikipedia.org/wiki/Isa_bin_Salman_Al_Khalifa
Argentina,1975,1977,Autocracy deepening,No,Open-ended coup,NA,November 1975,March 1976,President Isabel Peron declared a state of siege on 6 November 1975 suspending constitutional guarantees amid escalating guerrilla violence and the assassination of the Buenos Aires police chief.,"On 24 March 1976 (Operation Aries) the armed forces arrested President Isabel Peron and installed a military junta led by Videla, formally named president 29 March 1976, launching the ""Process of National Reorganization.""","Isabel Peron's presidency, marked by state-of-siege repression and economic collapse, was overthrown by an open military coup in March 1976 installing a hardline dictatorship under Videla.",High,https://en.wikipedia.org/wiki/1976_Argentine_coup_d'etat
Bangladesh,1975,1976,Autocracy deepening,No,Open-ended coup,NA,15 August 1975,29 September 1976,"In the early morning of 15 August 1975, junior army officers stormed the residence of President Sheikh Mujibur Rahman and assassinated him along with most of his family, installing an interim martial-law government.","After a counter-coup and the Sipahi-Janata mutiny that restored Ziaur Rahman as Army Chief, Zia formally consolidated military control by becoming Chief Martial Law Administrator on 29 September 1976.",The assassination of founding president Mujibur Rahman in a military coup ended Bangladesh's brief democratic experiment; a chaotic sequence of coups through 1976 entrenched military-backed rule under Zia.,High,https://en.wikipedia.org/wiki/Assassination_of_Sheikh_Mujibur_Rahman
Laos,1975,1976,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,May 1975,December 1975,"Following communist victories in Saigon and Phnom Penh, the Pathet Lao pressured rightist ministers to resign through mid-1975, dismantling the fragile 1973 coalition government from within.","A Congress of People's Representatives convened December 1975 formally abolished the Lao monarchy, forcing King Savang Vatthana's abdication, and proclaimed the Lao People's Democratic Republic under one-party communist rule.","The Pathet Lao used mass-pressure campaigns and legislative action to dismantle Laos's coalition government and monarchy, culminating in the December 1975 proclamation of the Lao PDR.",Medium,https://en.wikipedia.org/wiki/Laotian_Civil_War
Suriname,1975,1975,Democratic erosion,Yes,Other/unclear,NA,1975,1975,"The NPS-led coalition government of PM Henck Arron finalized independence negotiations with the Netherlands, and independence was granted on 25 November 1975 amid controversial expropriations of Dutch-descended settlers' property.","In the run-up to and aftermath of independence, roughly a third of Suriname's population emigrated to the Netherlands amid fears the new country would not be viable, marked by social unrest and economic depression.","Suriname's abrupt transition to independence was accompanied by mass emigration and instability rather than a classic coup or power-grab, likely explaining a mild erosion coding tied to decolonization itself.",Low,https://en.wikipedia.org/wiki/Suriname
Kuwait,1976,1976,Autocracy deepening,No,Executive coup,Executive aggrandizement,29 August 1976,1976,"Amid conflict between Emir Sabah Al-Salim Al-Sabah's government and an assertive National Assembly, the Emir issued a decree on 29 August 1976 suspending four constitutional articles governing press freedom and legislative dissolution, and dissolved the National Assembly outright.","The constitution and National Assembly remained suspended for roughly five years, with parliamentary life only reinstated in 1981.","The Emir unilaterally suspended core constitutional provisions and shut down the elected National Assembly in August 1976, ending Kuwait's brief parliamentary experiment for five years.",Medium,https://en.wikipedia.org/wiki/History_of_Kuwait
Thailand,1976,1977,Autocracy deepening,No,Open-ended coup,NA,6 October 1976,20 October 1977,"On 6 October 1976, Thai police and paramilitaries violently crushed a student protest at Thammasat University (the ""6 October massacre""), and that same day the military under Admiral Sangad Chaloryu seized power from the elected government, installing royalist judge Thanin Kraivichien as PM.","On 20 October 1977, Sangad again seized power and forced Thanin's resignation, citing that Thanin's government had ""divided the country"" and had virtually no public support; General Kriangsak Chamanan was installed as the new PM.","The October 1976 massacre and same-day coup ended Thailand's 1973-76 democratic interlude, installing a repressive royalist government replaced a year later by a second coup.",High,https://en.wikipedia.org/wiki/6_October_1976_massacre
Pakistan,1977,1978,Autocracy deepening,No,Promissory coup,Open-ended coup,"July 5, 1977",March 1978,"Army Chief Gen. Muhammad Zia-ul-Haq launched ""Operation Fair Play,"" a bloodless coup against elected PM Zulfikar Ali Bhutto amid a crisis over opposition allegations of massive rigging in the March 1977 elections. Zia suspended the constitution and promised ""free and fair elections"" within 90 days.","Instead of the promised 90-day elections, Zia pursued a criminal case against Bhutto; the Lahore High Court sentenced Bhutto to death March 1978 (executed April 1979), and elections were delayed until 1985.","Zia's coup ousted elected PM Bhutto, framed as a temporary custodianship pending swift elections, but led instead to Bhutto's execution and 11 years of military rule.",High,https://en.wikipedia.org/wiki/1977_Pakistani_coup_d'etat
Mauritania,1978,1979,Autocracy deepening,No,Open-ended coup,NA,"July 10, 1978",August 1979,"Col. Mustafa Ould Salek led junior officers in a bloodless coup against founding President Moktar Ould Daddah, driven by military exhaustion from the Western Sahara War and Daddah's threats to hold officers accountable for corruption.","The junta imprisoned Daddah and dissolved one-party rule with no timetable for civilian rule; Daddah was exiled to France in August 1979, and Mauritania entered a prolonged period of serial military coups.","Mauritania's army overthrew founding-president Daddah in a bloodless coup and installed an open-ended junta, beginning over a decade of continuous military government.",High,https://en.wikipedia.org/wiki/1978_Mauritanian_coup_d'etat
Zimbabwe,1978,1978,Autocracy deepening,No,Strategic harassment,Executive aggrandizement,"March 3, 1978",1978,"PM Ian Smith signed the ""Internal Settlement"" with hand-picked, non-militant Black leaders, creating a transitional biracial Executive Council while excluding the actual insurgent opposition (Patriotic Front) from the transition.","Despite adding Black ministers, civil service, judiciary, police, and armed forces stayed under predominantly white officials; the resulting April 1979 elections excluded the Patriotic Front and were declared ""null and void"" by the UN.","Smith negotiated a power-sharing deal with moderate leaders that preserved white control of the security state while giving the appearance of participation, further tilting the playing field within an already-authoritarian regime.",Medium,https://en.wikipedia.org/wiki/Internal_Settlement
Burkina Faso,1980,1981,Autocracy deepening,No,Open-ended coup,NA,"November 25, 1980",May 1981,"Col. Saye Zerbo led a bloodless coup ousting President Lamizana amid drought/famine-driven economic desperation and a wave of strikes, immediately following a failed no-confidence motion.","Zerbo suspended the constitution and installed a 31-member junta with no timetable for elections; the initially union-friendly regime turned repressive, imposing mandatory military service in May 1981 and banning strikes.",Burkina Faso's military ousted long-serving President Lamizana and installed an open-ended junta under Zerbo that grew increasingly authoritarian within months.,High,https://en.wikipedia.org/wiki/1980_Upper_Voltan_coup_d'etat
Liberia,1980,1981,Autocracy deepening,No,Open-ended coup,NA,"April 12, 1980",August 1981,"Master Sgt. Samuel Doe led indigenous soldiers storming the Executive Mansion and killing President Tolbert, capping resentment of Americo-Liberian elite rule inflamed by 1979 rice-price riots.",Doe's People's Redemption Council publicly executed 13 Tolbert-era officials in April 1980; consolidation continued in 1981 as the regime executed alleged coup plotters within the junta itself in August 1981.,Indigenous NCOs led by Doe overthrew the Americo-Liberian-dominated Tolbert government and installed an open-ended junta that continued purging rivals via summary executions.,High,https://en.wikipedia.org/wiki/1980_Liberian_coup_d'etat
Suriname,1980,1981,Democratic breakdown,Yes,Open-ended coup,Promissory coup,"February 25, 1980",1981,"Sgt.-Maj. Desi Bouterse led 16 NCOs in a coup against elected PM Henck Arron's government, triggered when Arron refused to recognize an NCO union and arrested its leaders.","The military initially retained civilian President Ferrier and installed a PM figurehead, but forced Ferrier's resignation in August 1980, continuing consolidation through 1981 before dismissing the figurehead outright in February 1982.","Sergeants led by Bouterse overthrew Suriname's elected government over pay/union grievances; the military progressively stripped away civilian checks, turning a democracy into a consolidated military dictatorship.",Medium,https://en.wikipedia.org/wiki/1980_Surinamese_coup_d'etat
Türkiye,1980,1981,Democratic breakdown,Yes,Open-ended coup,NA,"September 12, 1980","November 6, 1983","On 12 September 1980, General Kenan Evren led the Turkish Armed Forces in a coup; the National Security Council abolished parliament, suspended the 1961 constitution, and banned all political parties and trade unions.","The junta's new constitution was approved by referendum November 1982, and power was handed to a civilian government after elections on 6 November 1983, ending three years of direct military rule during which ~650,000 people were arrested.","General Evren's coup dissolved parliament and banned parties, ushering in three years of direct military rule before a controlled transition back to elected civilian government in 1983.",High,https://en.wikipedia.org/wiki/1980_Turkish_coup_d'etat
Ghana,1981,1982,Autocracy deepening,No,Open-ended coup,NA,"December 31, 1981",1982,"On 31 December 1981, Flight Lieutenant Jerry Rawlings led his second coup, overthrowing the elected government of President Hilla Limann amid economic crisis, and installed the Provisional National Defence Council with himself as chairman.","The PNDC abolished the 1979 constitution, banned political parties, and consolidated military-backed rule, surviving counter-coup attempts; PNDC rule lasted 11 years until the 1992 constitution restored multiparty democracy.","Rawlings' second coup ousted Ghana's elected civilian government amid economic crisis, replacing it with the PNDC military-revolutionary regime.",High,https://en.wikipedia.org/wiki/1981_Ghanaian_coup_d'etat
Bangladesh,1982,1983,Autocracy deepening,No,Open-ended coup,NA,"March 24, 1982",December 1983,"On 24 March 1982, Army Chief Gen. Hussain Muhammad Ershad forced President Abdus Sattar to resign, declared martial law, suspended the constitution, and banned political parties, installing a figurehead civilian president.","Ershad formally assumed the presidency himself in December 1983, replacing the figurehead president and consolidating personal military rule that continued until 1990.","General Ershad's coup ousted Bangladesh's elected president and imposed martial law; Ershad took the presidency outright in late 1983, ruling as military head of state until 1990.",High,https://en.wikipedia.org/wiki/1982_Bangladeshi_coup_d'etat
Nigeria,1983,1984,Autocracy deepening,No,Open-ended coup,NA,"December 31, 1983",1984,"On 31 December 1983, Major General Muhammadu Buhari led a military coup that overthrew the elected government of President Shehu Shagari, following a firefight between coup plotters and the presidential guard.","The Buhari-led Supreme Military Council suspended the 1979 constitution, banned political parties, and ruled by decree, before Buhari was overthrown in a further coup by General Ibrahim Babangida in August 1985.","Nigeria's Second Republic ended when Buhari's coup deposed elected President Shagari, installing a Supreme Military Council that suspended the constitution and ruled by decree.",High,https://en.wikipedia.org/wiki/1983_Nigerian_coup_d'etat
Kuwait,1986,1986,Autocracy deepening,No,Executive coup,Executive aggrandizement,1986,October 1992,"In 1986, amid strained oil revenues and friction between the ruling family and elected deputies, Emir Jaber Al-Ahmad Al-Sabah suspended Kuwait's 1962 constitution and dissolved the National Assembly, ruling by decree through the Council of Ministers.","The suspension provoked a pro-democracy movement; under domestic and Gulf War-era international pressure the Emir agreed in October 1990 to restore constitutional rule, with elections finally held in October 1992.","The Emir suspended the constitution and dissolved the National Assembly in 1986, ruling by decree for roughly six years until a pro-democracy movement and post-Gulf War pressure forced restoration of parliament.",Medium,https://en.wikipedia.org/wiki/History_of_Kuwait
Burundi,1987,1988,Autocracy deepening,No,Open-ended coup,NA,"September 3, 1987",October 1988,"On 3 September 1987, Major Pierre Buyoya led a bloodless military coup that deposed President Bagaza while he was abroad at a summit; Buyoya suspended the constitution and formed a Military Committee for National Salvation.","Ethnic violence erupted in August 1988, with roughly 20,000 Hutu killed in military reprisals; Buyoya was proclaimed president in September 1988 and in October 1988 appointed a mixed civilian-military government under a Hutu prime minister.","Buyoya's coup deposed President Bagaza, and the new regime's early consolidation was tested by deadly ethnic violence, after which Buyoya broadened his government's ethnic balance.",High,https://en.wikipedia.org/wiki/1987_Burundian_coup_d'etat
Fiji,1987,1988,Democratic breakdown,Yes,Open-ended coup,NA,14 May 1987,1988,"On 14 May 1987, Lt. Col. Sitiveni Rabuka led armed soldiers into Fiji's House of Representatives and forced PM Timoci Bavadra's newly elected multiracial coalition government to leave in a bloodless military coup.","A second coup on 25 September 1987 scuttled a negotiated power-sharing accord; Rabuka declared Fiji a republic on 7 October 1987, and a civilian interim government under Ratu Sir Kamisese Mara was installed in December 1987.","The military overthrew the newly elected multiracial coalition government citing threats to indigenous Fijian political dominance; a second coup scuttled a compromise and Rabuka declared Fiji a republic, installing an interim, ethnically favored government.",High,https://en.wikipedia.org/wiki/1987_Fijian_coups_d'etat
Sudan,1989,1990,Autocracy deepening,No,Open-ended coup,NA,30 June 1989,1990,"On 30 June 1989, Brigadier General Omar al-Bashir, backed by Hassan al-Turabi's National Islamic Front, led a bloodless military coup overthrowing the elected government, dissolving parliament and suspending the constitution.","Al-Bashir established the Revolutionary Command Council; through 1989-1990 the regime banned all political parties and civil society bodies, purged tens of thousands from the army, police and civil service, and built a network of clandestine detention centers.",A 1989 military coup backed by Islamist leader Turabi ended Sudan's fragile parliamentary period and installed a military-Islamist junta that purged and repressed the civil administration.,High,https://en.wikipedia.org/wiki/1989_Sudanese_coup_d'etat
Peru,1990,1992,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,5 April 1992,November 1992,"On 5 April 1992, elected President Alberto Fujimori announced he was dissolving Congress and ""reorganizing"" the judiciary, deployed army tanks to Congress, and issued a decree suspending the constitution amid gridlock with an opposition-controlled Congress.","Fujimori called elections for a Democratic Constituent Congress held November 1992, which his supporters won; the new congress drafted a constitution approved by referendum in October 1993.","Facing a hostile Congress and insurgency, elected President Fujimori staged a ""self-coup,"" dissolving Congress and suspending the constitution, then convened a hand-picked constituent assembly.",High,https://en.wikipedia.org/wiki/1992_Peruvian_constitutional_crisis
Estonia,1991,1992,Democratic breakdown,Yes,Other/unclear,Strategic harassment,August 1991,28 June 1992,"Following restoration of independence in August 1991, Estonia's Supreme Council restored the 1938 citizenship law, automatically granting citizenship only to pre-1940 citizens and their descendants; Soviet-era Russian-speaking settlers did not automatically become citizens.","Roughly 30% of Estonia's population was left without citizenship in the first years of independence; the new constitution was approved by referendum 28 June 1992, and the September 1992 elections were conducted under the citizen-only franchise this policy created.","Restoring pre-1940 citizenship rules automatically enfranchised only pre-Soviet citizens and descendants, leaving a large share of Russian-speaking settlers stateless and outside the electorate, hitting the suffrage component of V-Dem's polyarchy index.",Medium,https://en.wikipedia.org/wiki/Non-citizens_(Estonia)
Suriname,1991,1991,Autocracy deepening,No,Open-ended coup,NA,24 December 1990,May 1991,"On 24 December 1990 (the ""telephone coup""), acting military commander Ivan Graanoogst phoned President Ramsewak Shankar to inform him he was deposed, driven by former strongman Desi Bouterse reasserting military dominance.","The government was dismissed 27 December 1990, the National Assembly dissolved, and Johan Kraag installed as interim president; the Netherlands suspended aid and international pressure forced observed elections in May 1991, won by Ronald Venetiaan.","Suriname's military deposed elected President Shankar by telephone on Christmas Eve 1990; international pressure forced free elections in May 1991, though Bouterse's military remained a powerful background actor.",High,https://en.wikipedia.org/wiki/1990_Surinamese_coup_d'etat
Thailand,1991,1991,Autocracy deepening,No,Open-ended coup,NA,23 February 1991,1991,"On 23 February 1991, a military junta led by General Sunthorn Kongsompong staged a bloodless coup, arresting PM Chatichai Choonhavan and ending Thailand's longest democratically elected government to that point.","King Bhumibol endorsed the coup on 26 February 1991; the junta formed the National Peace Keeping Council and appointed Anand Panyarachun as interim PM, drafting a new constitution preserving military influence.","Thailand's military ousted the elected government of Chatichai Choonhavan, ending the country's longest period of elected civilian rule to that point.",High,https://en.wikipedia.org/wiki/1991_Thai_coup_d'etat
Algeria,1992,1993,Autocracy deepening,No,Open-ended coup,NA,"January 11, 1992",1993,"On January 11, 1992, Algeria's military forced President Chadli Bendjedid to resign and canceled the second round of elections the Islamic Salvation Front was poised to win, installing a High Council of State headed by Mohamed Boudiaf.",The FIS was banned and tens of thousands of supporters interned in desert camps; President Boudiaf was assassinated in June 1992; cancellation of the electoral process triggered a decade-long civil war.,"Algeria's military canceled elections the Islamist FIS was set to win, forced elected President Bendjedid to resign, and installed an unelected council, triggering a brutal civil war.",High,https://en.wikipedia.org/wiki/1992_Algerian_coup_d'etat
Haiti,1992,1992,Autocracy deepening,No,Open-ended coup,NA,"September 30, 1991",Ongoing,"On the night of September 29-30, 1991, General Raoul Cedras and police chief Michel Francois led a military mutiny that attacked President Jean-Bertrand Aristide's residence, killed hundreds of civilians, and forced Aristide into exile.",The junta installed Joseph Nerette as provisional president October 1991 and through 1992 waged mass repression against Aristide supporters while resisting international sanctions.,"Following the 1991 coup that ousted elected President Aristide, the military junta under Cedras consolidated brutal repressive rule through 1992, killing and displacing thousands of Aristide supporters.",High,https://en.wikipedia.org/wiki/1991_Haitian_coup_d'etat
Tajikistan,1992,1995,Autocracy deepening,No,Open-ended coup,Other/unclear,"September 7, 1992",1995,"On September 7, 1992, opposition paramilitary forces captured President Rahmon Nabiyev and forced him at gunpoint to resign, amid a civil war between the government and a coalition of regional, Islamist, and democratic opposition forces.",The Supreme Soviet elected Emomali Rahmon as new leader in December 1992; Kulob-based militias backed by Russian and Uzbek forces waged what HRW described as ethnic cleansing against Pamiri and Garmi populations.,"Tajikistan's civil war saw President Nabiyev forced to resign at gunpoint and replaced by Rahmon, whose government deepened authoritarian, ethnically-targeted repression; this is fundamentally a civil-war state collapse rather than a clean fit to Bermeo's categories.",Medium,https://en.wikipedia.org/wiki/Tajikistani_Civil_War
Armenia,1993,1997,Democratic breakdown,Yes,Executive aggrandizement,Election-day fraud,"December 28, 1994",September 1996,"On December 28, 1994, President Levon Ter-Petrosyan banned the opposition Armenian Revolutionary Federation, alleging a coup plot, raided its offices, and had 31 members arrested and later convicted.","In the September 25, 1996 presidential election, official results gave Ter-Petrosyan just above 50% amid widespread fraud allegations; roughly 200,000 protesters stormed parliament and were crushed by tanks and troops, and a minister later admitted the vote had been rigged.","President Ter-Petrosyan banned Armenia's largest opposition party, then secured a disputed re-election marred by fraud allegations and a violent military crackdown on protesters.",High,https://en.wikipedia.org/wiki/Levon_Ter-Petrosyan
Azerbaijan,1993,1996,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,"June 4, 1993",1996,"On June 4, 1993, military commander Surat Huseynov launched an armed mutiny from Ganja and marched on Baku, forcing President Abulfaz Elchibey to flee by June 18, ending his government.","Heydar Aliyev, recalled to power as parliament speaker, was elected president after an August 1993 referendum formally removed Elchibey, and progressively entrenched one-man, one-party dominance over the following years.","A June 1993 military mutiny toppled Azerbaijan's first elected president, paving the way for former Soviet-era leader Heydar Aliyev to seize the presidency via referendum and steadily consolidate authoritarian control.",High,https://en.wikipedia.org/wiki/1993_Azerbaijani_coup_d'etat
The Gambia,1993,1995,Autocracy deepening,No,Promissory coup,Open-ended coup,"July 22, 1994",1995,"On July 22, 1994, Lieutenant Yahya Jammeh led junior officers in a coup that overthrew long-serving elected President Dawda Jawara, dissolved the government, and abolished the constitution, publicly pledging a transition back to civilian democratic rule.","The junta shortened its planned transition, but by 1995-96 had banned key opposition parties and converted itself into the ruling APRC party ahead of the September 1996 election that confirmed Jammeh's rule.","Yahya Jammeh's 1994 coup ousted Gambia's long-serving elected president in a classic ""promissory coup,"" but the junta instead banned opposition parties and transformed itself into a ruling party, cementing 22 years of authoritarian rule.",High,https://en.wikipedia.org/wiki/1994_Gambian_coup_d'etat
Russia,1993,2014,Autocracy deepening,No,Executive coup,Executive aggrandizement,September 1993,March 2014,"President Yeltsin issued a decree dissolving the Congress of People's Deputies on 21 September 1993; parliament impeached him, and the standoff culminated in the October 3-4, 1993 armed storming of the White House parliament building by government troops.","The December 1993 referendum created a super-presidential constitution; Putin's 2000s ""power vertical"" (abolition of elected governors, media/oligarch crackdowns, protest-law tightening) culminated in the March 2014 annexation of Crimea.","Yeltsin's violent 1993 dissolution of parliament established a super-presidential template that Putin systematically expanded after 2000, centralizing control over regions, media, courts and elections through the 2014 Crimea annexation.",Medium,https://en.wikipedia.org/wiki/1993_Russian_constitutional_crisis
Rwanda,1993,1995,Autocracy deepening,No,Other/unclear,NA,April 1994,July 1994,"The April 6, 1994 assassination of President Habyarimana triggered genocide against Tutsi and moderate Hutu, executed by a Hutu Power-led crisis committee that seized state control after the stalled 1993 Arusha power-sharing accords.","The RPF captured Kigali on July 4, 1994, ending the genocide; the new RPF-dominated government banned ethnically organized parties and ""genocide ideology,"" establishing a de facto one-party state.","Rwanda's collapse from a stalled power-sharing transition into genocide, followed by the RPF's military conquest and one-party consolidation, does not map cleanly onto Bermeo's categories since it centers on genocide and civil-war conquest rather than an elected government losing power.",Medium,https://en.wikipedia.org/wiki/Rwandan_genocide
