country_name,ep_start,ep_end,outcome_short,funke_spell_years,matched,bermeo_category_primary,bermeo_category_secondary,description
Liberia,2003,2004,NA,NA,FALSE,Other/unclear,NA,"Liberia's 2003-2004 deepening reflects the chaotic tail end of civil war (Taylor's ouster, a peace deal, and rule by an unelected transitional government) rather than a backsliding-from-democracy dynamic."
Thailand,2003,2007,Breakdown,2001–2006,TRUE,Promissory coup,Open-ended coup,"Thailand's military ousted PM Thaksin in a September 2006 coup while abroad, explicitly promising a swift return to civilian rule; the junta delivered on its promise, holding elections in December 2007, though only after banning Thaksin's party."
Bosnia and Herzegovina,2004,2007,Erosion only,NA,FALSE,Other/unclear,Executive aggrandizement,"Bosnia's erosion reflects continued heavy-handed international ""protectorate"" governance displacing domestic democratic accountability, alongside the failure of constitutional reform and the rise of nationalist leader Dodik."
Sri Lanka,2004,2006,Breakdown,NA,FALSE,Executive aggrandizement,NA,"President Rajapaksa reversed the peace process after his contested 2005 election, allying with hardline nationalists; the LTTE's 2006 reservoir closure triggered renewed war, entrenching executive and military authority."
North Macedonia,2005,2012,Breakdown,NA,FALSE,Strategic harassment,Executive aggrandizement,"Gruevski's party won a disputed-adjacent 2006 election after irregularity-marred 2005 local elections, using consecutive victories through 2011 to tilt media, pack security institutions, and marginalize opposition."
Türkiye,2005,2017,Breakdown,2003–2020,TRUE,Executive aggrandizement,Strategic harassment,"Erdogan's AKP incrementally dismantled institutional checks through legal, referendum-based channels; the failed 2016 coup triggered mass purges, and the 2017 referendum formally converted Turkey to a presidential system concentrating power in Erdogan."
Bolivia,2006,2020,Breakdown,2006–2019,TRUE,Executive aggrandizement,Election-day fraud,"Morales concentrated executive power through a 2009 constitution and a 2017 Tribunal ruling overturning a 2016 anti-reelection referendum; his disputed 2019 re-election, found fraudulent by the OAS, triggered his resignation and an unelected interim government."
Fiji,2006,2007,NA,NA,FALSE,Open-ended coup,NA,"Bainimarama led Fiji's fourth coup since 1987, ousting elected PM Qarase over alleged corruption; the military installed an interim government and elections were delayed for eight years."
Honduras,2006,2010,Breakdown,NA,FALSE,Promissory coup,Open-ended coup,"Honduras's Supreme Court and Congress, backed by the military, removed elected President Zelaya after he defied a court order barring a referendum; framed as defense of legality with a promise to hold elections, the episode concluded with Lobo's 2010 inauguration."
Hungary,2006,2025,Breakdown,2010–2020,TRUE,Executive aggrandizement,Strategic harassment,"After winning a two-thirds supermajority, Orban's government rewrote Hungary's constitution and systematically weakened judicial independence, media pluralism, and electoral fairness through ostensibly legal institutional changes over more than a decade."
Palestine/West Bank,2006,2008,Breakdown,NA,FALSE,Executive coup,Executive aggrandizement,"Hamas won the 2006 legislative election, but conflict with Fatah culminated in Hamas's 2007 Gaza takeover; Abbas dissolved the unity government and ruled the West Bank through an emergency decree-appointed government."
Ecuador,2007,2013,Erosion only,2007–2017,TRUE,Executive aggrandizement,Strategic harassment,"Correa used a 2007 Constituent Assembly, which bypassed the existing opposition-controlled Congress, to produce a 2008 constitution substantially expanding presidential powers, driving significant executive-driven erosion without full collapse."
Papua New Guinea,2007,2013,Breakdown,NA,FALSE,Executive aggrandizement,Open-ended coup,"PNG's 2011-2012 constitutional crisis pitted a parliament-installed PM against the courts and the removed incumbent, with O'Neill repeatedly defying Supreme Court orders before the dispute was resolved by the ballot box in 2012."
South Korea,2008,2014,Erosion only,2003–2008,TRUE,Strategic harassment,NA,"South Korea's intelligence service illegally intervened in the 2012 presidential election to help the ruling-party candidate via covert online manipulation, revealing significant erosion in electoral fairness without a full authoritarian breakdown."
Mali,2008,2013,Breakdown,NA,FALSE,Promissory coup,Open-ended coup,A mutiny over resourcing for the war against Tuareg rebels toppled elected president Toure; the junta promised to restore constitutional order and eventually ceded power to a transitional government before 2013 elections.
Indonesia,2009,2025,Breakdown,2014–2020,TRUE,Executive aggrandizement,Strategic harassment,"Starting with the 2019 gutting of the KPK's independence and culminating in the 2023 court ruling clearing the way for Jokowi's son to become vice president, Indonesia's checking institutions were progressively hollowed out through nominally legal channels."
India,2009,2025,Breakdown,2014–2020,TRUE,Executive aggrandizement,Strategic harassment,"Under Modi, India's elected executive progressively weakened checks through ostensibly legal means -- the Article 370 abrogation, capture of referee institutions, and opaque political financing -- ranking India among the most significant recent autocratizers."
Madagascar,2009,2010,NA,NA,FALSE,Open-ended coup,Promissory coup,"A months-long uprising culminated in the military forcing Ravalomanana from office and installing Rajoelina; internationally treated as an unconstitutional coup, the resulting transitional authority further entrenched autocratic rule."
Niger,2009,2010,Breakdown,NA,FALSE,Executive aggrandizement,Promissory coup,"President Tandja attempted to extend his rule past term limits via an illegitimate referendum, prompting a February 2010 military coup; the coup leaders explicitly promised a return to elected government and delivered within a year."
Burundi,2010,2016,NA,NA,FALSE,Executive aggrandizement,Strategic harassment,"Burundi's already non-democratic regime deepened as CNDD-FDD entrenched one-party dominance via an uncontested 2010 election, then Nkurunziza's legally-engineered third term triggered mass protests and severe repression eliminating remaining competition."
Maldives,2010,2017,Breakdown,NA,FALSE,Executive aggrandizement,Promissory coup,"A contested February 2012 transfer of power removed elected president Nasheed and installed Waheed, paving the way for Yameen's 2013 election and his subsequent systematic dismantling of judicial independence and opposition rights."
Serbia,2010,2025,Breakdown,NA,FALSE,Executive aggrandizement,Strategic harassment,"Since SNS's 2012 rise to power, Vucic has progressively concentrated executive power, captured media and state institutions, and tilted successive elections, a shift international monitors describe as democracy to hybrid authoritarianism."
Ukraine,2010,2014,Breakdown,NA,FALSE,Executive aggrandizement,Strategic harassment,"President Yanukovych used a compliant Constitutional Court to restore presidential powers, then pursued selective prosecution of opposition and manipulated electoral rules, before his rejection of EU integration triggered the Euromaidan revolution that ousted him."
Zambia,2011,2019,Breakdown,NA,FALSE,NA,NA,NA
Guinea-Bissau,2012,2013,NA,NA,FALSE,NA,NA,NA
Nepal,2012,2013,NA,NA,FALSE,NA,NA,NA
Slovenia,2012,2021,Erosion only,NA,FALSE,NA,NA,NA
Bangladesh,2013,2018,NA,NA,FALSE,NA,NA,NA
Czechia,2013,2021,Erosion only,NA,FALSE,NA,NA,NA
Egypt,2013,2014,NA,NA,FALSE,NA,NA,NA
Ghana,2013,2021,Erosion only,NA,FALSE,NA,NA,NA
Croatia,2013,2025,Ongoing,NA,FALSE,NA,NA,NA
Moldova,2013,2017,Erosion only,NA,FALSE,NA,NA,NA
Mauritania,2013,2025,NA,NA,FALSE,NA,NA,NA
Thailand,2013,2014,NA,NA,FALSE,NA,NA,NA
Yemen,2013,2016,NA,NA,FALSE,NA,NA,NA
Burkina Faso,2014,2015,Breakdown,NA,FALSE,NA,NA,NA
Libya,2014,2025,NA,NA,FALSE,NA,NA,NA
Mauritius,2014,2023,Breakdown,NA,FALSE,NA,NA,NA
Tunisia,2014,2022,Breakdown,NA,FALSE,NA,NA,NA
Brazil,2015,2019,Erosion only,2019–2020,TRUE,NA,NA,NA
Botswana,2015,2022,Erosion only,NA,FALSE,NA,NA,NA
Comoros,2015,2020,NA,NA,FALSE,NA,NA,NA
Lesotho,2015,2017,Erosion only,NA,FALSE,NA,NA,NA
Niger,2015,2025,Breakdown,NA,FALSE,NA,NA,NA
Pakistan,2015,2025,NA,NA,FALSE,NA,NA,NA
Tanzania,2015,2021,NA,NA,FALSE,NA,NA,NA
Hong Kong,2016,2025,NA,NA,FALSE,NA,NA,NA
Cambodia,2016,2025,NA,NA,FALSE,NA,NA,NA
Mongolia,2016,2024,Breakdown,NA,FALSE,NA,NA,NA
Peru,2016,2025,Ongoing,NA,FALSE,NA,NA,NA
Philippines,2016,2025,Breakdown,2016–2020,TRUE,NA,NA,NA
Poland,2016,2021,Erosion only,2015–2020,TRUE,NA,NA,NA
Georgia,2017,2025,Breakdown,NA,FALSE,NA,NA,NA
Mozambique,2017,2025,NA,NA,FALSE,NA,NA,NA
Chad,2017,2022,NA,NA,FALSE,NA,NA,NA
Togo,2017,2025,NA,NA,FALSE,NA,NA,NA
Benin,2018,2021,Breakdown,NA,FALSE,NA,NA,NA
Burkina Faso,2018,2025,Breakdown,NA,FALSE,NA,NA,NA
Gabon,2018,2024,NA,NA,FALSE,NA,NA,NA
Guatemala,2018,2022,Erosion only,NA,FALSE,NA,NA,NA
Lebanon,2018,2024,NA,NA,FALSE,NA,NA,NA
Mali,2018,2025,NA,NA,FALSE,NA,NA,NA
El Salvador,2018,2025,Breakdown,NA,FALSE,NA,NA,NA
Central African Republic,2019,2025,NA,NA,FALSE,NA,NA,NA
United Kingdom,2019,2025,Ongoing,2019–2020,TRUE,NA,NA,NA
Guinea,2019,2025,NA,NA,FALSE,NA,NA,NA
Guyana,2019,2025,Ongoing,NA,FALSE,NA,NA,NA
Italy,2019,2025,Ongoing,2018–2020,TRUE,NA,NA,NA
Kyrgyzstan,2019,2025,NA,NA,FALSE,NA,NA,NA
South Korea,2019,2023,Erosion only,NA,FALSE,NA,NA,NA
Armenia,2020,2025,Ongoing,NA,FALSE,NA,NA,NA
Belarus,2020,2025,NA,NA,FALSE,NA,NA,NA
Ivory Coast,2020,2025,Breakdown,NA,FALSE,NA,NA,NA
Greece,2020,2025,Ongoing,NA,FALSE,NA,NA,NA
Haiti,2020,2025,NA,NA,FALSE,NA,NA,NA
Mexico,2020,2025,Breakdown,2018–2020,TRUE,NA,NA,NA
